STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,01-07-1961,,,,,0,0,0,88,60
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,02-07-1961,,,,,0,0,0,93,66
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,03-07-1961,,,,,0,0,0,93,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,04-07-1961,,,,,0,0,0,91,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,05-07-1961,,,,,0,0,0,91,61
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,06-07-1961,,,,,0,0,0,94,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,07-07-1961,,,,,0.11,0,0,90,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,08-07-1961,,,,,0.51,0,0,90,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,09-07-1961,,,,,0.03,0,0,85,65
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,10-07-1961,,,,,0,0,0,86,62
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,11-07-1961,,,,,0,0,0,86,59
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,12-07-1961,,,,,0.21,0,0,80,64
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,13-07-1961,,,,,0.13,0,0,91,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,14-07-1961,,,,,0,0,0,90,64
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,15-07-1961,,,,,0,0,0,90,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,16-07-1961,,,,,0.11,0,0,93,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,17-07-1961,,,,,0,0,0,94,69
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,18-07-1961,,,,,0.42,0,0,94,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,19-07-1961,,,,,0.3,0,0,90,66
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,20-07-1961,,,,,0,0,0,90,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,21-07-1961,,,,,0,0,0,93,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,22-07-1961,,,,,0.49,0,0,93,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,23-07-1961,,,,,0,0,0,92,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,24-07-1961,,,,,0,0,0,94,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,25-07-1961,,,,,0,0,0,94,71
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,26-07-1961,,,,,0,0,0,94,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,27-07-1961,,,,,1.24,0,0,96,69
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,28-07-1961,,,,,0.06,0,0,93,69
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,29-07-1961,,,,,0,0,0,94,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,30-07-1961,,,,,0,0,0,95,72
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,31-07-1961,,,,,0,0,0,96,71
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,01-08-1961,,,,,0,0,0,98,72
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,02-08-1961,,,,,0,0,0,96,69
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,03-08-1961,,,,,0.24,0,0,95,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,04-08-1961,,,,,1.45,0,0,96,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,05-08-1961,,,,,1.18,0,0,88,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,06-08-1961,,,,,0,0,0,90,71
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,07-08-1961,,,,,0.62,0,0,85,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,08-08-1961,,,,,0.06,0,0,85,65
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,09-08-1961,,,,,0.26,0,0,89,66
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,10-08-1961,,,,,0.04,0,0,90,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,11-08-1961,,,,,0,0,0,91,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,12-08-1961,,,,,0,0,0,93,72
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,13-08-1961,,,,,0,0,0,93,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,14-08-1961,,,,,0,0,0,91,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,15-08-1961,,,,,0,0,0,86,65
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,16-08-1961,,,,,0,0,0,83,59
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,17-08-1961,,,,,0,0,0,88,56
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,18-08-1961,,,,,0,0,0,90,57
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,19-08-1961,,,,,0.05,0,0,89,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,20-08-1961,,,,,0.62,0,0,78,64
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,21-08-1961,,,,,0.51,0,0,76,60
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,22-08-1961,,,,,0,0,0,87,63
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,23-08-1961,,,,,0,0,0,88,62
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,24-08-1961,,,,,0.03,0,0,87,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,25-08-1961,,,,,1.21,0,0,85,64
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,26-08-1961,,,,,0.88,0,0,87,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,27-08-1961,,,,,0,0,0,81,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,28-08-1961,,,,,0,0,0,89,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,29-08-1961,,,,,0,0,0,91,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,30-08-1961,,,,,0,0,0,93,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,31-08-1961,,,,,0.12,0,0,92,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,01-09-1961,,,,,0.2,0,0,90,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,02-09-1961,,,,,0,0,0,91,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,03-09-1961,,,,,0,0,0,93,67
